timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745181614353,3,-18568,30788,-12681,-18565,31113,0
1745181614354,2,22397,31947,-14217,26494,32239,0
1745181614354,0,-6011,-31699,21880,14469,-31662,0
1745181614355,1,0,7908,-18415,16392,2,0
1745181614356,4,-1910,27209,11047,22649,-30671,0
1745181614383,3,18304,31685,-5801,1920,31722,0
1745181614384,2,14206,32483,-8649,-22659,32220,0
1745181614384,0,26756,-31410,20872,26756,-31933,0
1745181614385,1,275,894,21392,-32755,167,0
1745181614387,4,1923,26727,-22137,-22393,-25173,0
1745181614428,3,-2178,31155,-29401,-18565,31972,0
1745181614428,2,-6276,31940,-9737,-22659,32481,0
1745181614429,0,22400,32734,-3353,-30851,-32258,0
1745181614443,1,28933,4555,6320,20483,0,0
1745181614444,4,-22875,25763,7047,-18050,-29694,0
1745181614488,3,26492,32499,-19209,-22662,-32257,0
1745181614489,2,10111,-32522,8,-6274,32753,0
1745181614489,0,10108,32463,-10009,-2181,31672,0
1745181614490,1,534,4714,0,-32764,18,0
1745181614491,4,-22671,32360,25815,14189,-18182,0
1745181614518,3,18295,32418,-16521,-26759,32181,0
1745181614520,2,-22661,31930,-14073,-22659,32480,0
1745181614533,0,18295,31087,-22761,30587,31403,0
1745181614534,1,28680,32,19184,24577,0,0
1745181614535,4,-10648,30584,5415,-18589,-27814,0
1745181614564,3,26488,31878,-6825,-26756,31666,0
1745181614578,2,-30851,31954,-13081,18301,32222,0
1745181614593,0,22394,31144,-25145,10107,31165,0
1745181614593,1,14,21,-28160,-12280,0,0
1745181614595,4,-10388,28945,-9290,31082,-21439,0
1745181614623,3,-2178,31687,-9273,18301,31162,0
1745181614624,2,-10370,32489,-4713,-2178,32490,0
1745181614624,0,18299,31415,-23737,-6278,31412,0
1745181614625,1,-4084,0,-28704,9,3,0
1745181614626,4,22394,31733,3479,-1669,-25487,0
1745181614668,3,-14208,31235,-20473,26494,31452,0
1745181614669,2,6015,32492,-329,-22656,32243,0
1745181614669,0,14203,31151,-28377,30586,31410,0
1745181614670,1,4096,512,13872,0,0,0
1745181614672,4,18811,32423,3448,-18288,-29202,0
1745181614713,3,-26757,32477,-9433,-14209,-32463,0
1745181614713,2,-10373,31144,-27753,26489,31396,0
1745181614714,0,26491,32194,-2905,18559,-32762,0
1745181614715,1,256,4107,896,16384,15,0
1745181614716,4,-26753,30453,23736,30854,-31486,0
1745181614758,3,-6018,-32767,-6089,30587,32459,0
1745181614759,2,-14468,32203,-10697,30588,32463,0
1745181614759,0,22399,32493,-4857,-30851,32198,0
1745181614760,1,0,2656,13856,0,4,0
1745181614761,4,5756,26577,-27865,-2183,-31793,0
1745181614803,3,1915,32440,-2953,30588,32166,0
1745181614803,2,22396,32197,-12009,6012,32198,0
1745181614804,0,-26757,31938,-13721,-22661,31138,0
1745181614805,1,-24574,23,1024,4097,5,0
1745181614806,4,13946,26841,20999,18558,-32220,0
1745181614848,3,30589,31392,-13081,26492,31650,0
1745181614849,2,-18561,32493,-11001,1917,32210,0
1745181614849,0,22394,31127,-32137,10105,31392,0
1745181614851,1,4096,1,6144,-8190,1,0
1745181614864,4,-18563,32459,7592,-14465,-26626,0
1745181614893,3,-2180,31151,-18681,22397,31438,0
1745181614895,2,-14468,32198,-16377,-22661,31945,0
1745181614923,0,-26760,31377,-21193,18300,31964,0
1745181614923,1,-20470,174,256,-16382,10,0
1745181614953,4,-22666,-27200,11305,10358,-19957,0
1745181614953,3,18300,31460,-32105,18557,32025,0
1745181614954,2,18300,31940,-12201,1918,32753,0
1745181614968,0,26492,32198,-11545,-2180,31963,0
1745181614968,1,8197,96,0,4096,0,0
1745181614970,4,26480,-32274,14295,22629,-21267,0
1745181614998,3,18554,-32486,-12969,-14211,-32491,0
